1,M,50.0,5
2,F,45.5,4
3,M,60.2,6
4,F,42.1,7
5,M,58.9,8
6,F,47.3,5
7,M,55.2,6
8,F,49.6,7
9,M,62.3,8
10,F,51.7,5
11,M,57.1,6
12,F,50.5,7
13,M,63.2,8
14,F,52.8,5
15,M,59.0,6
16,F,51.4,7
17,M,64.3,8
18,F,53.9,5
19,M,60.1,6
20,F,52.5,7
21,M,53.1,8
22,F,46.6,5
23,M,59.3,6
24,F,51.9,7
25,M,57.2,8
26,F,50.6,5
27,M,63.3,6
28,F,52.9,7
29,M,59.1,8
30,F,51.5,5
31,M,57.3,6
32,F,50.7,7
33,M,63.4,8
34,F,52.1,5
35,M,58.2,6
36,F,50.8,7
37,M,64.5,8
38,F,53.2,5
39,M,59.4,6
40,F,51.1,7
41,M,57.4,8
42,F,50.9,5
43,M,63.5,6
44,F,53.3,7
45,M,59.5,8
46,F,51.2,5
47,M,57.5,6
48,F,51.0,7
49,M,63.6,8
50,F,53.4,5
51,M,59.6,6
52,F,52.2,7
53,M,57.6,8
54,F,51.3,5
55,M,63.7,6
56,F,53.5,7
57,M,58.3,8
58,F,52.3,5
59,M,60.4,6
60,F,53.6,7
61,M,58.4,8
62,F,52.4,5
63,M,60.5,6
64,F,53.7,7
65,M,58.5,8
66,F,52.5,5
67,M,60.6,6
68,F,53.8,7
69,M,58.6,8
70,F,52.6,5
71,M,60.7,6
72,F,53.9,7
73,M,58.7,8
74,F,52.7,5
75,M,60.8,6
76,F,54.0,7
77,M,58.8,8
78,F,52.8,5
79,M,60.9,6
80,F,54.1,7
81,M,59.7,8
82,F,53.0,5
83,M,61.8,6
84,F,54.2,7
85,M,59.8,8
86,F,53.1,5
87,M,61.9,6
88,F,54.3,7
89,M,59.9,8
90,F,53.2,5
91,M,62.0,6
92,F,54.4,7
93,M,60.0,8
94,F,53.3,5
95,M,62.1,6
96,F,54.5,7
97,M,61.0,8
98,F,54.6,5
99,M,62.2,6
100,F,54.7,7
101,M,51.8,8
102,F,45.3,5
103,M,58.0,6
104,F,50.4,7
105,M,56.7,8
106,F,49.2,5
107,M,62.8,6
108,F,52.0,7
109,M,58.8,8
110,F,51.4,5
111,M,56.8,6
112,F,49.3,7
113,M,62.9,8
114,F,52.1,5
115,M,57.9,6
116,F,50.5,7
117,M,63.0,8
118,F,53.0,5
119,M,58.9,6
120,F,51.5,7
121,M,56.9,8
122,F,49.4,5
123,M,63.1,6
124,F,52.2,7
125,M,58.0,8
126,F,51.6,5
127,M,57.0,6
128,F,49.5,7
129,M,63.2,8
130,F,53.1,5
131,M,59.1,6
132,F,52.3,7
133,M,57.1,8
134,F,51.7,5
135,M,63.3,6
136,F,53.2,7
137,M,59.2,8
138,F,52.4,5
139,M,57.2,6
140,F,51.8,7
141,M,63.4,8
142,F,53.3,5
143,M,59.3,6
144,F,52.5,7
145,M,57.3,8
146,F,51.9,5
147,M,63.5,6
148,F,53.4,7
149,M,58.4,8
150,F,52.6,5
151,M,56.3,6
152,F,49.0,7
153,M,62.4,8
154,F,51.3,5
155,M,57.4,6
156,F,49.1,7
157,M,62.5,8
158,F,51.4,5
159,M,57.5,6
160,F,49.2,7
161,M,62.6,8
162,F,51.5,5
163,M,57.6,6
164,F,49.3,7
165,M,62.7,8
166,F,51.6,5
167,M,58.5,6
168,F,50.7,7
169,M,64.6,8
170,F,53.8,5
171,M,59.6,6
172,F,52.8,7
173,M,57.7,8
174,F,51.9,5
175,M,63.8,6
176,F,53.9,7
177,M,58.7,8
178,F,52.0,5
179,M,64.8,6
180,F,54.1,7
181,M,54.8,8
182,F,48.2,5
183,M,56.9,6
184,F,50.3,7
185,M,58.0,8
186,F,51.6,5
187,M,59.1,6
188,F,52.7,7
189,M,60.2,8
190,F,53.8,5
191,M,61.3,6
192,F,54.9,7
193,M,62.4,8
194,F,56.0,5
195,M,63.5,6
196,F,57.1,7
197,M,64.6,8
198,F,58.2,5
199,M,59.3,6
200,F,60.4,7
